# odor meter
# rose 1
# TeaTreeOil 2
62999,1
62999,1
62999,1
62999,1
62999,1
62999,1
61999,1
62999,1
62999,1
62999,1
62999,1
62999,1
61999,1
62999,1
62999,1
62999,1
62999,1
62999,1
62999,1
62999,1
62999,1
62999,1
62999,1
61999,1
62999,1
62999,1
62999,1
61999,1
82394,2
82382,2
82383,2
82372,2
82382,2
82372,2
82416,2
82440,2
82428,2
82416,2
82382,2
82372,2
82383,2
82394,2
82405,2
82394,2
82382,2
82383,2
82383,2
82383,2
82394,2
82394,2
82394,2
82394,2
82383,2
83382,2
82372,2
82361,2
62999,1
62999,1
62999,1
62999,1
62999,1
62999,1
62999,1
63999,1
62999,1
62999,1
62999,1
66999,1
62999,1
62999,1
62999,1
62999,1
62999,1
62999,1
61999,1
61999,1
62999,1
62999,1
61999,1
62999,1
62999,1
62999,1
62999,1
61999,1
82372,2
82361,2
82351,2
82351,2
82331,2
82351,2
82341,2
82361,2
82362,2
82372,2
82361,2
82351,2
82372,2
82361,2
82341,2
82351,2
82383,2
82394,2
82383,2
82372,2
82361,2
82341,2
82331,2
82331,2
82351,2
82361,2
82351,2
82372,2
